RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1273.3735,3806.206,-1350.5642495398959,3933.867806070174
-1346.8335406748265,3933.1284584675336,-1347,3934,-1294.5175,3774.0854,-1335.929954292901,3911.5760176350686
-1335.5865142047794,3922.4926007616623,-1337,3919,-1111.964,3739.715,-1302.705682581538,3884.2314971317323
-1324.339480834547,3911.8567447567757,-1322,3909,-1296.5685,3748.8042,-1292.212796832645,3858.1770221528895
-1320.5905298499647,3908.3115207082856,-1322,3909,-1296.5685,3748.8042,-1289.4770518949283,3841.9445275429484
-1313.092564898214,3901.2210107787205,-1312,3899,-1249.7683,3787.0645,-1277.9804017163494,3828.8281028003
-1301.8455150832172,3890.5851453967334,-1302,3889,-1209.6136,3766.3396,-1258.7986828731664,3810.9197886303673
-1290.5983968245996,3879.949212782227,-1292,3879,-1288.6565,3744.0842,-1253.895928632183,3791.80966123678
-1279.3512436260585,3869.313245707878,-1277,3869,-1282.5087,3765.5615,-1249.1013502217045,3778.7301889380574
-1268.1040726081706,3858.677260926066,-1267,3859,-1163.8906,3713.2888,-1225.8269902736283,3759.133418696714
-1256.8568924936224,3848.041267037476,-1257,3849,-1234.547,3752.3467,-1218.0479843070154,3749.179996787716
-1245.6097077076288,3837.4052684902626,-1247,3834,-1229.5564,3792.934,-1210.7940455427292,3747.8464576184806
-1234.3625204879274,3826.7692675982657,-1232,3824,-1234.3347,3719.9941,-1205.6489616334927,3734.285193988207
-1230.6134577566309,3823.223933673702,-1232,3824,-1234.3347,3719.9941,-1210.1188964997432,3732.0583714811755
-1230.6132825016255,3823.223795879794,-1232,3824,-1234.3347,3719.9941,-1213.607747103402,3730.320282151099
-1230.6121499455774,3823.223761729941,-1232,3824,-1234.3347,3719.9941,-1216.4136982393359,3728.922389489286
-1230.6108905373658,3823.223732586874,-1232,3824,-1234.3347,3719.9941,-1218.7223981858704,3727.772213544906
